"","name","platform","year_of_release","genre","global_sales","critic_score","critic_count","user_score","user_count","rating"
"6774","Trials Fusion","Xbox",2014,"Racing",240000,80,28,71,158,"10+"
"6777","Far Cry Instincts Predator","Xbox",2006,"Shooter",240000,78,46,62,80,"17+"
"6779","Onechanbara Z2: Chaos","Playstation",2014,"Action",240000,57,40,65,72,"17+"
"6789","Skylanders: SuperChargers","Xbox",2015,"Action",240000,76,15,55,17,"10+"
"6791","Britney's Dance Beat","Playstation",2002,"Misc",240000,63,20,48,20,"Everyone"
"6796","Vexx","Playstation",2003,"Platform",240000,63,20,76,11,"13+"
"6797","Samurai Warriors 4","Playstation",2014,"Action",240000,76,31,81,74,"13+"
"6801","TimeSplitters: Future Perfect","Playstation",2005,"Shooter",240000,84,39,91,117,"17+"
"6806","Genma Onimusha","Xbox",2002,"Action",240000,83,27,86,10,"17+"
"6809","Turning Point: Fall of Liberty","Playstation",2008,"Shooter",240000,42,28,55,33,"13+"
"6813","Corvette","Xbox",2003,"Racing",240000,53,4,86,12,"Everyone"
"6815","Fuel","Playstation",2009,"Racing",240000,67,44,74,36,"Everyone"
"6817","Burnout 2: Point of Impact","Xbox",2003,"Racing",240000,88,23,51,23,"Everyone"
"6818","Super Monkey Ball Deluxe","Playstation",2005,"Misc",240000,78,25,77,13,"Everyone"
"6819","Kill.Switch","Xbox",2003,"Shooter",240000,75,26,80,7,"13+"
"6828","Dynasty Warriors 7","Xbox",2011,"Action",240000,58,22,80,46,"13+"
"6834","Dragon Ball Z: Sagas","Xbox",2005,"Fighting",240000,51,11,61,8,"13+"
"6836","AC/DC LIVE: Rock Band Track Pack","Playstation",2008,"Misc",240000,60,12,53,14,"13+"
"6843","Asura's Wrath","Xbox",2012,"Action",240000,71,54,65,131,"13+"
"6854","NCAA College Basketball 2K3","Playstation",2002,"Sports",240000,83,17,80,6,"Everyone"
"6856","NHL 17","Xbox",2016,"Sports",240000,77,23,40,38,"10+"
"6859","Bakugan: Battle Brawlers","Xbox",2009,"Action",240000,60,16,52,9,"Everyone"
"6876","The Adventures of Tintin: The Game","Xbox",2011,"Action",240000,63,35,61,12,"10+"
"6880","Zumba Fitness: World Party","Xbox",2013,"Misc",240000,73,5,62,40,"Everyone"
"6891","Dreamcast Collection","Xbox",2011,"Misc",240000,53,31,52,10,"13+"
"6893","Rocket League","Xbox",2016,"Sports",240000,87,22,83,194,"Everyone"
"6894","My Street","Playstation",2003,"Misc",240000,46,21,39,14,"Everyone"
"6898","Shadow Hearts: Covenant","Playstation",2004,"Role-Playing",240000,85,49,91,54,"13+"
"6899","X-Men: Destiny","Playstation",2011,"Action",240000,50,33,48,37,"13+"
"6902","Harry Potter and the Order of the Phoenix","Playstation",2007,"Action",240000,67,35,66,25,"10+"
"6910","Dynasty Warriors 6 Empires","Xbox",2009,"Action",240000,59,24,73,28,"13+"
"6911","The Testament of Sherlock Holmes","Playstation",2012,"Adventure",240000,65,16,74,34,"17+"
"6912","FIFA World Cup Germany 2006","Xbox",2006,"Sports",240000,77,22,84,9,"Everyone"
"6913","NBA Live 14","Playstation",2013,"Sports",240000,43,25,27,175,"Everyone"
"6914","G.I. Joe: The Rise of Cobra","Xbox",2009,"Action",240000,42,59,47,22,"13+"
"6916","Game of Thrones","Playstation",2012,"Role-Playing",240000,53,14,55,81,"17+"
"6920","X-Men: Destiny","Xbox",2011,"Action",240000,47,51,50,72,"13+"
"6926","Pro Evolution Soccer 2014","Xbox",2013,"Action",240000,80,23,43,113,"Everyone"
"6931","Pure Futbol","Playstation",2010,"Sports",240000,46,12,75,30,"Everyone"
"6935","Afro Samurai","Xbox",2009,"Action",240000,65,70,62,57,"17+"
"6936","Ar tonelico Qoga: Knell of Ar Ciel","Playstation",2010,"Role-Playing",240000,61,27,54,101,"17+"
"6937","NASCAR 08","Playstation",2007,"Racing",240000,56,9,82,9,"Everyone"
"6939","Divinity II: Ego Draconis","Xbox",2009,"Role-Playing",240000,62,37,64,36,"17+"
"6940","Birds of Steel","Playstation",2012,"Simulation",230000,73,27,84,18,"13+"
"6942","Bakugan: Battle Brawlers","Playstation",2009,"Action",230000,63,10,82,5,"Everyone"
"6944","Karaoke Revolution Volume 2","Playstation",2004,"Misc",230000,76,26,70,4,"Everyone"
"6957","NBA Live 15","Playstation",2014,"Sports",230000,59,24,56,86,"Everyone"
"6958","NASCAR Thunder 2004","Xbox",2003,"Racing",230000,85,14,91,15,"Everyone"
"6959","Buffy the Vampire Slayer","Xbox",2002,"Action",230000,79,30,91,31,"13+"
"6961","Harry Potter and the Goblet of Fire","Xbox",2005,"Action",230000,68,26,58,10,"10+"
"6965","Viva Pinata: Party Animals","Xbox",2007,"Misc",230000,56,42,62,18,"Everyone"
"6971","World Series Baseball","Xbox",2002,"Sports",230000,85,20,88,6,"Everyone"
"6972","Test Drive: Eve of Destruction","Playstation",2004,"Racing",230000,73,34,91,23,"13+"
"6974","Dynasty Warriors: Gundam Reborn","Playstation",2013,"Action",230000,64,35,75,25,"13+"
"6978","The Scorpion King: Rise of the Akkadian","Playstation",2002,"Action",230000,47,12,72,6,"13+"
"6982","The Club","Playstation",2008,"Shooter",230000,72,42,65,15,"17+"
"6988","Virtua Tennis 4","Xbox",2011,"Sports",230000,70,37,62,12,"Everyone"
"6989","ESPN NHL Hockey","Playstation",2003,"Sports",230000,90,19,70,22,"Everyone"
"6991","DiRT Showdown","Xbox",2012,"Racing",230000,75,53,64,53,"10+"
"6992","The Incredible Hulk: Ultimate Destruction","Xbox",2005,"Action",230000,84,47,80,22,"13+"
"7003","Cross Edge","Playstation",2008,"Role-Playing",230000,52,32,72,82,"13+"
"7018","Madagascar: Escape 2 Africa","Playstation",2008,"Action",230000,58,13,68,4,"10+"
"7022","NBA 2K6","Xbox",2005,"Action",230000,81,33,86,31,"Everyone"
"7023","NASCAR 08","Playstation",2007,"Racing",230000,57,21,50,14,"Everyone"
"7027","Mafia","Xbox",2004,"Action",230000,66,33,77,22,"17+"
"7028","Grand Slam Tennis 2","Playstation",2012,"Sports",230000,73,36,52,17,"Everyone"
"7029","Dynasty Warriors: Strikeforce","Xbox",2009,"Action",230000,59,18,57,12,"13+"
"7039","Carnival Island","Playstation",2011,"Misc",230000,66,25,52,5,"Everyone"
"7043","Genji: Dawn of the Samurai","Playstation",2005,"Action",230000,74,49,83,19,"17+"
"7049","The Italian Job","Playstation",2003,"Racing",230000,55,18,63,4,"13+"
"7054","Freedom Fighters","Xbox",2003,"Shooter",230000,82,23,82,23,"13+"
"7057","Soldier of Fortune II: Double Helix","Xbox",2003,"Shooter",230000,61,26,65,13,"17+"
"7063","Final Fantasy XI: Treasures of Aht Urhgan","Playstation",2006,"Role-Playing",230000,87,4,71,13,"13+"
"7073","Transformers: Devastation","Playstation",2015,"Action",230000,77,50,75,160,"13+"
"7076","BlowOut","Playstation",2003,"Shooter",230000,58,12,62,5,"13+"
"7077","NFL Blitz Pro","Playstation",2003,"Sports",230000,73,20,85,14,"Everyone"
"7093","Rune Factory: Tides of Destiny","Playstation",2011,"Role-Playing",230000,55,12,79,44,"10+"
"7099","The Polar Express","Playstation",2004,"Adventure",230000,39,10,43,6,"Everyone"
"7101","AC/DC LIVE: Rock Band Track Pack","Xbox",2008,"Misc",230000,63,16,49,10,"13+"
"7108","NBA ShootOut 2003","Playstation",2002,"Sports",230000,62,22,59,8,"Everyone"
"7116","Rogue Ops","Playstation",2003,"Action",230000,61,26,92,6,"17+"
"7119","Killer is Dead","Playstation",2013,"Action",230000,64,39,79,215,"17+"
"7120","F1 2014","Xbox",2014,"Racing",230000,64,14,41,20,"Everyone"
"7122","Legion: The Legend of Excalibur","Playstation",2002,"Action",220000,51,21,70,6,"17+"
"7129","Spartan: Total Warrior","Playstation",2005,"Action",220000,74,33,84,65,"17+"
"7143","Conflict: Vietnam","Xbox",2004,"Shooter",220000,60,40,73,9,"17+"
"7145","Whirl Tour","Playstation",2002,"Sports",220000,58,9,70,5,"Everyone"
"7171","Spider-Man: Edge of Time","Playstation",2011,"Action",220000,58,43,72,29,"13+"
"7173","Ride","Playstation",2015,"Racing",220000,66,30,70,47,"Everyone"
"7177","Galactic Wrestling: Featuring Ultimate Muscle","Playstation",2004,"Fighting",220000,61,12,80,5,"13+"
"7179","Dino Stalker","Playstation",2002,"Shooter",220000,50,18,63,8,"17+"
"7186","G-Force","Playstation",2009,"Action",220000,68,22,76,7,"10+"
"7192","Risen 2: Dark Waters","Playstation",2012,"Role-Playing",220000,47,13,52,37,"17+"
"7196","MotoGP 09/10","Playstation",2010,"Racing",220000,70,42,54,28,"Everyone"
"7199","The Suffering","Xbox",2004,"Action",220000,77,44,88,23,"17+"
"7213","Child of Eden","Playstation",2011,"Shooter",220000,81,21,78,25,"10+"
"7220","Nickelodeon Party Blast","Xbox",2002,"Misc",220000,19,4,43,7,"Everyone"
"7225","Shellshock: Nam '67","Xbox",2004,"Shooter",220000,58,37,70,14,"17+"
"7229","Magna Carta: Tears of Blood","Playstation",2004,"Role-Playing",220000,66,34,70,22,"13+"
"7233","Pinball Hall of Fame: The Williams Collection","Playstation",2009,"Misc",220000,82,16,79,8,"10+"
"7235","Dishonored 2","Xbox",2016,"Action",220000,88,22,68,156,"17+"
"7240","Guitar Hero: Smash Hits","Playstation",2009,"Misc",220000,69,6,83,6,"13+"
"7243","NCAA Basketball 09","Xbox",2008,"Sports",220000,70,23,56,8,"Everyone"
